Project_ID,Project_Type,Team_Size,Project_Budget_USD,Estimated_Timeline_Months,Complexity_Score,Stakeholder_Count,Methodology_Used,Team_Experience_Level,Past_Similar_Projects,External_Dependencies_Count,Change_Request_Frequency,Project_Phase,Requirement_Stability,Team_Turnover_Rate,Vendor_Reliability_Score,Historical_Risk_Incidents,Communication_Frequency,Regulatory_Compliance_Level,Technology_Familiarity,Geographical_Distribution,Stakeholder_Engagement_Level,Schedule_Pressure,Budget_Utilization_Rate,Executive_Sponsorship,Funding_Source,Market_Volatility,Integration_Complexity,Resource_Availability,Priority_Level,Organizational_Change_Frequency,Cross_Functional_Dependencies,Previous_Delivery_Success_Rate,Technical_Debt_Level,Project_Manager_Experience,Org_Process_Maturity,Data_Security_Requirements,Key_Stakeholder_Availability,Tech_Environment_Stability,Contract_Type,Resource_Contention_Level,Industry_Volatility,Client_Experience_Level,Change_Control_Maturity,Risk_Management_Maturity,Team_Colocation,Documentation_Quality,Project_Start_Month,Current_Phase_Duration_Months,Seasonal_Risk_Factor,Risk_Level,Total_Tasks,Completion_Percentage,Completed_Tasks,Pending_Tasks,Overdue_Tasks,Delay_Percentage,Average_Delay_Days,Employee_Workload,Estimated_Effort_Hours,Actual_Effort_Hours,Project_Progress
PROJ_0417,R&D,7,914267.86,12,6.13,9,Agile,Mixed,4,3,0.62,Initiation,Moderate,0.33,0.78,1,3.63,Medium,Familiar,4,Excellent,0.22,1.21,Moderate,External,0.77,2.43,0.79,Critical,0.33,7,0.83,0.0,Mid-level PM,Managed,High,Moderate,,Fixed-Price,High,Moderate,Occasional,,Formal,Fully Colocated,Basic,3,3,1.0,High,28,65,18,10,5,12.9,6,High,1920,2167,In Progress
PROJ_0418,Healthcare,25,956977.83,23,8.3,10,Waterfall,Mixed,2,6,1.03,Execution,Moderate,0.47,0.52,1,1.95,Low,Familiar,3,Medium,0.0,1.03,Moderate,Mixed,0.51,7.86,0.46,High,0.87,0,0.75,0.0,Junior PM,Managed,Strict,Excellent,,Cost-Plus,Medium,High,Occasional,Formal,Formal,Fully Remote,Basic,1,1,1.0,Critical,125,58,72,53,7,17.61,7,Medium,3680,4328,In Progress
PROJ_0419,Healthcare,9,923507.95,8,3.76,13,Scrum,Junior,1,1,0.98,Monitoring,Moderate,0.33,0.83,0,2.76,Medium,Familiar,2,Medium,0.15,0.92,Moderate,Internal,0.54,6.67,0.72,Medium,0.41,5,0.86,0.0,Mid-level PM,Defined,Medium,Good,,Time & Materials,Medium,Stable,Strategic,,Formal,Hybrid,Good,7,3,1.0,Low,63,22,13,50,4,33.33,4,Low,1280,1706,Not Started
PROJ_0420,IT,16,1054663.99,18,7.39,9,Scrum,Senior,7,3,0.8,Closure,Volatile,0.33,0.69,2,6.15,Critical,Expert,2,High,0.03,0.79,Moderate,External,0.87,6.63,0.3,Critical,1.69,5,0.83,0.55,Mid-level PM,Optimizing,High,Moderate,Legacy/Unstable,Fixed-Price,Medium,Moderate,Regular,Advanced,Formal,Fully Colocated,Basic,1,4,1.0,Medium,80,70,56,24,2,37.18,1,Medium,2880,3950,In Progress
PROJ_0421,IT,12,1002159.62,16,7.89,13,Agile,Senior,3,5,1.49,Execution,Stable,0.15,0.39,0,8.89,Low,Expert,2,Poor,0.19,0.66,Weak,Internal,0.89,7.92,1.0,Low,1.95,6,0.76,0.88,Mid-level PM,Managed,Medium,Poor,Modern/Stable,Hybrid,Low,Moderate,Occasional,,Formal,Partially Colocated,Basic,4,4,1.0,Critical,60,58,34,26,2,25.14,7,Medium,2560,3203,In Progress
PROJ_0422,Marketing,29,1143241.31,28,8.31,14,Waterfall,Mixed,1,6,3.01,Execution,Stable,0.62,0.95,3,1.91,Low,Familiar,2,Excellent,0.0,1.08,Moderate,Government,0.26,4.39,0.51,Medium,4.29,3,0.87,0.0,Senior PM,Managed,High,Good,,Time & Materials,High,High,Occasional,Formal,Basic,Fully Remote,Excellent,2,12,1.0,High,145,55,79,66,6,15.8,0,Medium,4480,5187,In Progress
PROJ_0423,R&D,21,1770637.95,25,8.65,14,Agile,Mixed,1,6,1.11,Closure,Moderate,0.45,0.64,1,5.09,Low,New,5,High,0.0,1.09,Strong,Internal,0.52,1.2,0.32,Critical,0.7,2,0.93,0.0,Junior PM,Managed,Strict,Good,,Time & Materials,Medium,Moderate,Occasional,Basic,Basic,Fully Colocated,Good,7,2,1.0,Medium,105,71,74,31,0,10.16,14,Medium,4000,4406,In Progress
PROJ_0424,R&D,17,1373596.82,24,10.0,14,Agile,Senior,2,6,2.16,Closure,Volatile,0.35,0.81,4,3.11,High,New,1,Low,0.04,1.17,Moderate,Mixed,0.99,9.3,0.81,Low,2.31,0,0.85,0.0,Senior PM,Ad-hoc,High,Good,,Time & Materials,Medium,High,First-time,Basic,,Fully Remote,Excellent,2,6,1.0,Critical,102,17,17,85,6,39.29,6,Low,3840,5348,Not Started
PROJ_0425,Manufacturing,17,1599599.89,22,7.61,11,Agile,Senior,1,5,3.92,Initiation,Volatile,0.33,0.64,0,7.62,High,Familiar,3,High,0.0,1.26,Weak,Internal,0.04,5.81,0.67,Medium,0.9,0,0.71,0.0,Senior PM,Optimizing,High,Excellent,,Cost-Plus,Low,Extreme,Strategic,Advanced,Formal,Fully Remote,Excellent,1,1,1.0,Medium,119,52,61,58,3,39.32,0,High,3520,4904,In Progress
PROJ_0426,Construction,38,2160046.74,27,5.61,15,Waterfall,Expert,1,1,1.65,Initiation,Moderate,0.13,0.94,2,6.2,Medium,New,5,High,0.0,0.8,Weak,Mixed,0.16,4.15,0.98,Critical,1.08,4,0.6,0.0,Certified PM,Managed,High,Excellent,,Hybrid,Medium,Moderate,Regular,Formal,Formal,Fully Remote,Good,1,9,1.0,Low,152,29,44,108,0,37.0,11,Medium,4320,5918,Not Started
PROJ_0427,Construction,18,1223709.0,16,5.18,14,Hybrid,Senior,6,2,0.68,Monitoring,Volatile,0.21,0.88,2,5.2,Low,Expert,4,Low,0.0,0.81,Moderate,Government,0.58,7.36,0.32,Low,1.54,4,0.95,0.0,Senior PM,Managed,Strict,Poor,,Cost-Plus,Medium,Moderate,Occasional,Basic,Basic,Partially Colocated,Good,1,1,1.0,High,72,99,71,1,1,31.43,5,Medium,2560,3364,Completed
PROJ_0428,Construction,30,1864690.01,28,7.57,17,Hybrid,Mixed,0,5,2.55,Initiation,Stable,0.32,0.82,1,3.78,High,New,3,Excellent,0.0,1.12,Strong,External,0.18,9.43,0.85,Medium,1.53,2,0.85,0.0,Junior PM,Defined,Low,Excellent,,Time & Materials,Medium,Extreme,Occasional,Formal,Basic,Hybrid,Basic,6,1,1.0,Medium,210,48,100,110,7,13.03,12,Low,4480,5063,In Progress
PROJ_0429,IT,4,574801.77,10,3.82,6,Agile,Senior,3,2,0.49,Closure,Moderate,0.4,0.52,1,5.31,High,Familiar,1,High,0.0,1.15,Moderate,External,0.59,1.5,0.99,Critical,1.1,5,0.84,0.56,Mid-level PM,Managed,Strict,Good,Modern/Stable,Fixed-Price,Low,High,Strategic,Basic,Basic,Fully Colocated,Good,5,1,1.0,Low,16,94,15,1,1,32.68,5,Low,1600,2122,Completed
PROJ_0430,Construction,34,1903201.7,24,5.94,19,Waterfall,Expert,6,3,3.32,Execution,Volatile,0.38,0.95,1,1.86,High,Familiar,4,Medium,0.0,1.02,Moderate,External,0.34,4.37,0.56,Medium,2.02,1,0.7,0.0,Certified PM,Managed,High,Limited,,Time & Materials,Medium,Moderate,Strategic,Formal,,Hybrid,Good,5,8,1.0,Medium,238,58,138,100,2,16.35,14,Low,3840,4467,In Progress
PROJ_0431,Marketing,8,414264.33,9,4.83,7,Scrum,Expert,2,1,1.07,Planning,Moderate,0.22,0.57,2,4.89,Critical,Expert,3,Medium,0.25,0.9,Weak,Mixed,0.53,6.83,0.49,High,0.61,4,0.61,0.0,Certified PM,Optimizing,Medium,Limited,,Fixed-Price,Medium,High,First-time,Basic,Formal,Partially Colocated,Excellent,9,1,1.0,Low,32,73,23,9,3,13.07,4,Medium,1440,1628,In Progress
PROJ_0432,Marketing,2,324034.31,4,1.78,8,Waterfall,Mixed,0,2,2.91,Initiation,Moderate,0.09,0.65,0,3.87,Medium,New,5,High,0.1,0.78,Weak,External,0.9,9.03,0.38,Low,0.78,2,0.92,0.0,Senior PM,Defined,High,Good,,Time & Materials,Medium,Stable,Regular,Basic,Formal,Hybrid,Good,3,1,1.0,Medium,10,71,7,3,4,29.79,14,High,640,830,In Progress
PROJ_0433,IT,5,712631.29,9,4.92,7,Agile,Expert,2,4,1.2,Closure,Moderate,0.16,0.84,0,2.26,Low,Expert,4,Medium,0.27,1.28,Strong,Government,0.21,1.41,0.98,High,0.32,3,0.85,0.48,Senior PM,Optimizing,High,Poor,Mixed,Cost-Plus,Medium,Moderate,Regular,Formal,Formal,Fully Colocated,Poor,11,3,1.1,Low,20,63,12,8,3,3.19,1,Low,1440,1485,In Progress
PROJ_0434,Manufacturing,7,582955.84,5,1.72,6,Agile,Mixed,1,2,1.47,Monitoring,Volatile,0.71,0.71,1,2.19,Medium,Familiar,5,High,0.0,0.78,Moderate,External,0.47,8.16,0.88,Low,1.95,2,0.88,0.0,Mid-level PM,Defined,Medium,Excellent,,Fixed-Price,Medium,Stable,Regular,,Basic,Partially Colocated,Poor,9,1,1.0,Medium,49,18,8,41,1,1.94,1,Low,800,815,Not Started
PROJ_0435,Manufacturing,11,597081.72,16,6.95,10,Hybrid,Mixed,3,3,1.06,Planning,Volatile,0.3,0.6,1,5.04,Low,New,3,Low,0.08,0.68,Moderate,Internal,0.04,2.63,0.46,High,4.69,4,0.72,0.0,Mid-level PM,Managed,Medium,Moderate,,Time & Materials,Low,Moderate,First-time,Formal,,Partially Colocated,Good,5,7,1.0,High,77,97,74,3,4,17.92,8,Low,2560,3018,Completed
PROJ_0436,IT,11,899068.37,21,9.24,9,Kanban,Junior,0,6,0.61,Planning,Stable,0.5,0.97,1,3.14,High,Familiar,4,Medium,0.09,1.1,Moderate,Mixed,0.58,8.75,0.37,Low,4.12,1,0.84,0.31,Junior PM,Managed,High,Limited,Mixed,Time & Materials,Low,High,First-time,Advanced,Formal,Fully Remote,Basic,4,2,1.0,High,77,46,35,42,3,17.83,4,High,3360,3959,In Progress
PROJ_0437,Manufacturing,12,756024.07,16,5.1,6,Hybrid,Mixed,1,4,2.12,Planning,Moderate,0.47,0.65,0,2.6,Medium,New,2,High,0.0,1.13,Moderate,Mixed,0.71,3.9,0.89,Low,1.44,3,0.82,0.0,Mid-level PM,Defined,Low,Excellent,,Fixed-Price,Medium,Moderate,Regular,Formal,Basic,Partially Colocated,Good,5,7,1.0,Medium,84,58,48,36,7,35.83,4,Medium,2560,3477,In Progress
PROJ_0438,IT,13,879748.49,13,5.91,12,Scrum,Mixed,2,3,2.98,Monitoring,Stable,0.4,0.43,1,2.64,High,Expert,4,Excellent,0.12,0.62,Strong,Mixed,0.55,1.94,0.5,Low,2.55,5,0.94,0.84,Certified PM,Optimizing,Strict,Excellent,Mixed,Time & Materials,Medium,Moderate,Regular,Formal,Formal,Partially Colocated,Poor,8,3,1.0,Low,91,50,45,46,7,5.05,6,Medium,2080,2185,In Progress
PROJ_0439,IT,14,1177817.56,19,7.05,8,Agile,Junior,0,4,2.45,Monitoring,Volatile,0.26,0.59,2,5.23,High,New,4,Low,0.0,1.0,Moderate,Internal,0.26,6.69,0.94,High,2.35,3,0.91,0.92,Senior PM,Managed,High,Good,Mixed,Hybrid,Low,High,Strategic,,Formal,Fully Colocated,Basic,5,4,1.0,High,84,26,21,63,3,4.93,5,Medium,3040,3189,Not Started
PROJ_0440,IT,16,1162689.44,20,8.54,8,Kanban,Senior,1,6,1.43,Closure,Moderate,0.4,0.63,2,2.66,Medium,New,2,Medium,0.06,0.7,Moderate,Mixed,0.68,3.07,0.66,Medium,1.06,4,0.91,0.09,Certified PM,Optimizing,High,Limited,Mixed,Fixed-Price,Low,Moderate,Regular,Advanced,Advanced,Fully Remote,Good,6,9,1.0,Low,96,97,93,3,4,5.9,1,Low,3200,3388,Completed
PROJ_0441,IT,5,731260.75,9,3.65,5,Scrum,Mixed,1,0,1.97,Execution,Moderate,0.4,0.85,5,0.59,Critical,New,1,High,0.01,1.04,Strong,Government,0.1,4.95,0.98,High,0.08,7,0.68,0.89,Junior PM,Defined,High,Limited,Modern/Stable,Hybrid,Low,Stable,Occasional,Basic,Basic,Fully Colocated,Good,8,1,1.0,High,20,30,6,14,1,1.19,10,Medium,1440,1457,In Progress
PROJ_0442,Marketing,2,344686.32,6,2.27,5,Agile,Expert,3,3,2.96,Monitoring,Stable,0.17,0.76,0,4.21,High,Familiar,4,Low,0.0,1.24,Strong,External,0.6,1.2,0.53,Low,0.14,0,0.58,0.0,Senior PM,Defined,High,Good,,Cost-Plus,Low,Moderate,First-time,,Basic,Partially Colocated,Good,8,2,1.0,Medium,14,60,8,6,3,2.87,0,Low,960,987,In Progress
PROJ_0443,Marketing,7,525309.02,10,4.46,10,Hybrid,Mixed,0,2,3.34,Execution,Moderate,0.24,0.92,2,1.71,Low,New,4,Poor,0.1,1.19,Moderate,Internal,0.64,8.15,0.93,Low,2.0,6,0.66,0.0,Mid-level PM,Defined,Medium,Moderate,,Time & Materials,High,Extreme,First-time,Basic,Basic,Hybrid,Excellent,12,4,1.1,Critical,28,68,19,9,4,26.39,4,High,1600,2022,In Progress
PROJ_0444,IT,13,839041.08,13,6.08,10,Scrum,Senior,3,5,0.98,Monitoring,Volatile,0.08,0.82,0,4.87,High,Familiar,3,Low,0.14,0.74,Moderate,External,0.04,3.28,0.35,High,0.99,3,0.59,0.37,Senior PM,Managed,Strict,Moderate,Mixed,Fixed-Price,Medium,Moderate,Occasional,Formal,Basic,Partially Colocated,Good,3,1,1.0,High,91,48,43,48,5,17.26,3,High,2080,2439,In Progress
PROJ_0445,R&D,26,2387571.06,26,9.99,22,Agile,Senior,1,6,0.73,Execution,Stable,0.2,0.89,1,3.07,High,New,5,Excellent,0.0,1.1,Moderate,Mixed,0.92,7.41,0.5,Critical,3.49,0,0.83,0.0,Senior PM,Ad-hoc,Medium,Limited,,Cost-Plus,High,High,Regular,Formal,,Fully Remote,Basic,1,4,1.0,High,182,64,116,66,7,30.54,11,Medium,4160,5430,In Progress
PROJ_0446,IT,11,710059.12,10,4.14,8,Scrum,Senior,6,3,2.11,Execution,Moderate,0.08,0.57,1,3.83,High,Familiar,5,High,0.03,1.09,Moderate,External,0.39,6.28,0.58,High,2.0,6,0.84,0.14,Mid-level PM,Defined,High,Good,Modern/Stable,Fixed-Price,Medium,Moderate,Regular,,,Hybrid,Good,9,4,1.0,Medium,66,50,33,33,5,39.7,2,Low,1600,2235,In Progress
PROJ_0447,R&D,17,1793939.24,23,8.63,13,Agile,Mixed,1,5,2.93,Initiation,Moderate,0.47,0.79,3,1.79,Low,New,3,Medium,0.0,0.76,Moderate,External,0.79,5.03,0.97,High,0.38,0,0.9,0.0,Mid-level PM,Defined,Medium,Limited,,Fixed-Price,Medium,High,Regular,Basic,Basic,Hybrid,Good,11,10,1.0,High,102,48,48,54,1,26.36,1,Low,3680,4650,In Progress
PROJ_0448,IT,12,1137355.37,24,8.18,12,Kanban,Junior,1,3,0.53,Monitoring,Moderate,0.69,0.78,5,4.89,Medium,Expert,1,Excellent,0.0,0.79,Strong,Internal,0.41,5.12,0.79,Medium,0.77,2,0.93,0.82,Certified PM,Managed,Medium,Excellent,Legacy/Unstable,Time & Materials,Low,High,Regular,Formal,Formal,Partially Colocated,Good,10,3,1.1,Low,60,22,13,47,4,2.02,9,Medium,3840,3917,Not Started
PROJ_0449,Healthcare,11,844231.77,17,5.64,12,Kanban,Senior,5,4,0.92,Planning,Moderate,0.44,0.8,4,3.51,Low,Expert,2,Poor,0.0,1.1,Moderate,Government,0.24,1.37,0.48,High,2.25,5,0.92,0.0,Senior PM,Defined,Medium,Good,,Fixed-Price,Low,Moderate,Regular,Basic,Basic,Partially Colocated,Poor,3,2,1.0,Medium,66,73,48,18,5,4.18,1,High,2720,2833,In Progress
PROJ_0450,Healthcare,20,1317695.02,22,7.59,10,Hybrid,Senior,1,2,2.87,Monitoring,Volatile,0.19,0.74,0,5.39,Critical,Familiar,3,Excellent,0.0,0.93,Weak,External,0.38,3.62,0.84,High,0.28,3,0.69,0.0,Mid-level PM,Optimizing,Strict,Excellent,,Fixed-Price,Medium,High,Regular,Formal,Advanced,Fully Colocated,Basic,11,4,1.0,Low,100,20,20,80,4,35.24,13,High,3520,4760,Not Started
PROJ_0451,Construction,50,2877966.42,34,6.96,21,Waterfall,Mixed,0,2,0.93,Monitoring,Stable,0.38,0.79,1,4.39,Critical,Familiar,4,Poor,0.0,1.21,Moderate,Mixed,0.58,6.96,0.51,Medium,1.27,2,0.84,0.0,Mid-level PM,Optimizing,Low,Poor,,Time & Materials,High,Extreme,Strategic,Advanced,Advanced,Fully Remote,Poor,12,8,1.0,Medium,250,28,70,180,3,21.1,14,High,5440,6587,Not Started
PROJ_0452,Healthcare,5,356654.06,7,1.63,4,Waterfall,Mixed,0,0,2.41,Monitoring,Moderate,0.4,0.59,3,4.41,High,New,3,Excellent,0.0,1.02,Moderate,External,0.36,8.57,0.73,Low,1.59,4,0.73,0.0,Mid-level PM,Managed,Strict,Limited,,Fixed-Price,Medium,Stable,First-time,Formal,Formal,Partially Colocated,Poor,5,2,1.0,High,25,20,5,20,1,32.99,3,High,1120,1489,Not Started
PROJ_0453,Construction,15,1122670.77,17,6.26,12,Hybrid,Junior,1,5,0.87,Monitoring,Volatile,0.11,0.78,0,4.24,Low,Familiar,1,Low,0.0,1.14,Strong,Internal,0.49,1.66,0.76,High,0.84,6,0.87,0.0,Mid-level PM,Defined,Strict,Limited,,Cost-Plus,Low,Moderate,First-time,Formal,Basic,Fully Remote,Poor,5,5,1.0,High,75,86,64,11,5,34.26,1,High,2720,3651,In Progress
PROJ_0454,Marketing,8,661441.41,12,4.88,10,Agile,Senior,3,4,0.8,Planning,Stable,0.22,0.53,1,1.21,High,Familiar,3,Medium,0.02,0.63,Strong,Mixed,0.05,8.54,0.93,High,2.67,5,0.48,0.0,Senior PM,Optimizing,High,Limited,,Fixed-Price,High,Stable,Occasional,Basic,Formal,Fully Remote,Poor,4,4,1.0,Medium,40,55,22,18,6,37.11,3,Medium,1920,2632,In Progress
PROJ_0455,IT,11,838005.97,20,9.11,9,Scrum,Mixed,0,6,2.4,Monitoring,Stable,0.19,0.81,0,2.1,Low,Familiar,1,Excellent,0.12,0.72,Moderate,Mixed,0.43,3.98,0.71,Medium,2.39,3,0.76,0.56,Senior PM,Ad-hoc,High,Good,Legacy/Unstable,Fixed-Price,High,High,Occasional,,,Partially Colocated,Basic,5,4,1.0,High,44,54,23,21,3,37.99,2,Medium,3200,4415,In Progress
PROJ_0456,Marketing,8,792818.71,11,3.07,6,Hybrid,Senior,4,2,0.81,Execution,Moderate,0.44,0.51,2,2.19,High,Familiar,4,Low,0.0,0.97,Strong,Mixed,0.18,6.65,0.71,Critical,0.53,1,0.52,0.0,Mid-level PM,Managed,Medium,Poor,,Time & Materials,Low,High,Regular,Formal,Basic,Partially Colocated,Good,2,3,1.0,High,48,10,4,44,7,22.19,8,Medium,1760,2150,Not Started
PROJ_0457,Construction,43,2730764.49,33,7.69,24,Waterfall,Senior,2,5,3.41,Planning,Moderate,0.35,0.83,4,2.76,Low,Expert,3,Medium,0.0,1.27,Strong,External,0.41,5.35,0.95,Medium,2.19,3,0.79,0.0,Senior PM,Managed,Low,Moderate,,Fixed-Price,High,High,Strategic,Basic,Basic,Hybrid,Excellent,9,7,1.0,Medium,215,49,105,110,6,13.64,6,High,5280,6000,In Progress
PROJ_0458,Healthcare,7,866895.13,13,4.79,6,Agile,Senior,2,3,1.14,Planning,Moderate,0.15,0.84,0,0.88,Critical,Expert,5,High,0.0,1.28,Strong,External,0.28,5.56,0.34,Low,0.27,7,0.72,0.0,Mid-level PM,Optimizing,High,Excellent,,Time & Materials,Low,Moderate,Occasional,Advanced,Formal,Partially Colocated,Good,5,5,1.0,Low,49,28,13,36,6,38.47,13,High,2080,2880,Not Started
PROJ_0459,Marketing,19,1000506.1,14,4.58,10,Waterfall,Expert,2,2,2.79,Monitoring,Moderate,0.22,0.77,2,5.81,Medium,Expert,4,Poor,0.0,0.99,Weak,External,0.45,5.1,0.68,Low,2.43,2,0.79,0.0,Junior PM,Managed,High,Excellent,,Time & Materials,Low,Moderate,Regular,Advanced,Basic,Fully Remote,Excellent,7,2,1.0,Low,114,85,96,18,0,21.9,12,Medium,2240,2730,In Progress
PROJ_0460,IT,9,878597.92,14,5.18,12,Agile,Junior,2,2,0.65,Closure,Moderate,0.18,0.67,0,5.04,Medium,Familiar,3,High,0.0,0.72,Strong,External,0.2,3.89,0.34,High,0.7,4,0.91,0.21,Mid-level PM,Defined,High,Excellent,Modern/Stable,Fixed-Price,Medium,Stable,Regular,,Basic,Partially Colocated,Basic,9,3,1.0,Low,54,81,43,11,0,2.57,10,Medium,2240,2297,In Progress
PROJ_0461,Construction,34,2339333.99,26,6.34,19,Waterfall,Expert,7,3,1.53,Initiation,Moderate,0.23,0.72,1,2.53,Medium,Familiar,1,Low,0.0,0.84,Moderate,Internal,0.12,7.73,0.72,High,2.26,7,0.8,0.0,Senior PM,Optimizing,Medium,Good,,Hybrid,Medium,Moderate,Strategic,Advanced,Basic,Partially Colocated,Excellent,8,6,1.0,Low,170,81,137,33,1,25.71,14,High,4160,5229,In Progress
PROJ_0462,IT,12,944793.02,21,10.0,9,Agile,Expert,3,5,2.0,Monitoring,Stable,0.26,0.93,1,5.86,High,New,4,Excellent,0.16,0.68,Strong,Government,0.1,4.74,0.47,Low,0.99,5,0.77,0.97,Senior PM,Managed,High,Excellent,Mixed,Hybrid,High,High,Occasional,Formal,Advanced,Hybrid,Basic,6,2,1.0,Low,48,70,33,15,5,23.51,11,Low,3360,4149,In Progress
PROJ_0463,Healthcare,8,697690.68,10,3.13,6,Kanban,Expert,2,2,2.05,Closure,Moderate,0.2,0.7,1,1.85,Critical,New,1,Low,0.0,1.07,Strong,Government,0.64,4.77,0.32,High,0.81,7,0.66,0.0,Certified PM,Optimizing,Strict,Poor,,Cost-Plus,Medium,Moderate,Occasional,Formal,Advanced,Fully Colocated,Good,1,2,1.0,Low,40,21,8,32,5,35.83,2,Medium,1600,2173,Not Started
PROJ_0464,R&D,29,2745689.6,31,10.0,24,Scrum,Senior,0,5,0.16,Planning,Moderate,0.18,0.65,0,2.35,Medium,Familiar,3,Low,0.0,1.16,Moderate,External,0.02,1.66,0.38,Low,1.93,4,0.73,0.0,Certified PM,Managed,High,Moderate,,Fixed-Price,High,Extreme,Strategic,Formal,Basic,Hybrid,Good,2,5,1.0,High,116,70,81,35,5,26.13,12,High,4960,6256,In Progress
PROJ_0465,Healthcare,18,1132021.75,25,9.28,14,Hybrid,Mixed,0,5,0.55,Initiation,Moderate,0.18,0.71,3,3.47,Critical,Familiar,2,Medium,0.0,1.22,Moderate,External,0.26,2.15,0.87,Critical,2.77,6,0.64,0.0,Junior PM,Defined,Strict,Excellent,,Hybrid,Low,Extreme,Regular,Basic,Basic,Hybrid,Basic,9,3,1.0,High,126,42,52,74,4,13.96,14,High,4000,4558,In Progress
PROJ_0466,Construction,19,1261242.29,17,4.92,14,Hybrid,Mixed,0,2,0.43,Execution,Stable,0.27,0.51,3,1.1,Low,Familiar,1,Excellent,0.0,1.14,Weak,External,0.72,1.92,0.81,High,4.56,7,0.63,0.0,Mid-level PM,Ad-hoc,Medium,Moderate,,Hybrid,Medium,Stable,Occasional,Formal,,Fully Remote,Good,5,4,1.0,Critical,114,54,61,53,3,38.65,13,Medium,2720,3771,In Progress
PROJ_0467,IT,15,1227525.75,19,6.73,12,Scrum,Mixed,1,2,2.02,Execution,Volatile,0.49,0.67,2,8.31,Critical,Familiar,4,Poor,0.0,1.1,Strong,External,0.45,7.73,0.51,Low,1.43,1,0.76,0.65,Mid-level PM,Managed,Strict,Moderate,Modern/Stable,Fixed-Price,High,Moderate,Strategic,Formal,Formal,Hybrid,Excellent,4,4,1.0,High,105,99,103,2,5,32.06,7,Low,3040,4014,Completed
PROJ_0468,IT,12,903734.25,16,6.42,10,Agile,Junior,0,4,1.23,Execution,Volatile,0.51,0.84,1,8.93,Medium,Familiar,5,Excellent,0.0,0.66,Moderate,Internal,0.25,6.18,0.79,Critical,0.28,7,0.96,0.64,Mid-level PM,Managed,High,Moderate,Mixed,Time & Materials,Medium,Moderate,Occasional,Basic,Basic,Partially Colocated,Basic,10,1,1.1,High,48,78,37,11,3,25.22,8,High,2560,3205,In Progress
PROJ_0469,Construction,18,1261327.03,14,4.13,10,Waterfall,Mixed,0,3,1.47,Monitoring,Volatile,0.46,0.61,2,4.38,Medium,New,3,Low,0.0,0.61,Moderate,Mixed,0.19,3.42,0.87,Medium,1.5,7,0.88,0.0,Junior PM,Defined,Medium,Excellent,,Fixed-Price,Medium,Stable,Regular,Basic,Basic,Fully Colocated,Poor,12,3,1.0,High,72,17,12,60,1,11.72,12,Medium,2240,2502,Not Started
PROJ_0470,R&D,20,1493051.25,23,10.0,16,Agile,Mixed,2,6,1.3,Closure,Volatile,0.35,0.39,1,1.69,High,New,1,Poor,0.08,0.73,Moderate,Mixed,0.99,3.43,0.83,Critical,3.67,7,0.86,0.0,Mid-level PM,Managed,High,Limited,,Hybrid,Low,Extreme,Occasional,Formal,Basic,Fully Colocated,Basic,3,7,1.0,Critical,140,34,47,93,6,14.94,6,High,3680,4229,In Progress
PROJ_0471,R&D,20,1814441.63,28,10.0,15,Scrum,Mixed,0,5,1.53,Execution,Stable,0.59,0.64,1,3.03,Medium,New,1,Low,0.0,0.69,Strong,Internal,0.91,4.19,0.79,Medium,0.51,6,0.52,0.0,Mid-level PM,Managed,High,Poor,,Time & Materials,High,Extreme,Regular,Basic,,Hybrid,Good,8,1,1.0,Critical,80,55,44,36,5,26.8,5,High,4480,5680,In Progress
PROJ_0472,Healthcare,12,874381.46,17,7.17,11,Kanban,Senior,0,2,0.04,Planning,Stable,0.17,0.89,2,5.37,Medium,Expert,4,Low,0.05,1.29,Moderate,Government,0.38,1.59,0.82,Medium,0.44,3,0.9,0.0,Mid-level PM,Managed,High,Excellent,,Fixed-Price,High,High,Regular,Basic,Advanced,Fully Colocated,Good,6,3,1.0,Low,84,96,80,4,1,2.88,3,High,2720,2798,Completed
PROJ_0473,Construction,20,1279208.01,19,6.02,15,Waterfall,Senior,5,5,0.9,Planning,Moderate,0.35,0.84,1,5.58,Medium,Expert,3,Low,0.0,1.22,Strong,Internal,0.51,8.27,0.7,Low,0.29,3,0.94,0.0,Junior PM,Ad-hoc,Medium,Limited,,Hybrid,High,Moderate,First-time,Basic,Basic,Partially Colocated,Basic,4,5,1.0,High,120,39,46,74,5,10.27,4,High,3040,3352,In Progress
PROJ_0474,IT,13,1336213.27,22,10.0,12,Scrum,Mixed,2,4,0.56,Closure,Stable,0.69,0.41,0,1.18,Critical,Familiar,4,Medium,0.12,1.29,Moderate,External,0.85,9.82,0.5,High,0.49,2,0.78,0.93,Senior PM,Defined,Medium,Limited,Mixed,Fixed-Price,Low,High,Regular,Formal,Basic,Hybrid,Poor,7,8,1.0,Critical,91,56,50,41,0,28.56,7,Low,3520,4525,In Progress
PROJ_0475,Marketing,18,668548.11,17,6.35,11,Waterfall,Mixed,0,2,0.95,Planning,Moderate,0.25,0.47,0,0.71,Medium,Familiar,4,High,0.0,0.65,Moderate,Internal,0.09,9.9,0.46,Critical,1.03,7,0.56,0.0,Junior PM,Defined,Medium,Excellent,,Cost-Plus,Low,Moderate,Occasional,Basic,Basic,Partially Colocated,Good,5,4,1.0,Medium,108,96,103,5,2,19.2,2,Medium,2720,3242,Completed
